,net_amount
0,62551.98008871079
1,525319.0017666221
2,1457513.919961989
3,1400318.199453771
4,1430408.969980657
5,1236553.8884288669
6,872050.8865175843
7,1193093.9289890733
8,1459132.8147237897
9,1025905.8562034369
10,1716932.2386499643
11,1072926.785622239
12,1332668.0746414063
13,1563357.2449892163
14,1499873.7069674134
15,1724538.6261546686
16,1244547.0243412256
17,1064667.2558395416
18,1181750.836278394
19,1740306.231003821
20,1517313.5776085854
21,1372474.1269493103
22,1399036.0972089171
23,1523001.422113955
24,1108263.750178853
25,1394274.5454704762
26,1537024.3656309992
27,1327882.618051648
28,891843.258426249
29,1051310.8800305128
30,841482.7592979074
31,1206008.4400147796
32,951728.8995947242
33,542532.7887576222
34,996348.658082163
35,887801.2980888486
36,1007525.8186832032
37,1004817.3200837374
38,3685767.454650402
39,4918186.6477108
40,3803631.791572392
41,4012524.359724389
42,2326005.404840827
43,2228187.776777625
44,1611766.008337855
45,2790947.7176928446
46,2713714.906045258
47,2092446.32907027
48,2203214.949579783
49,2455723.528870702
50,3004264.657749906
51,2709689.48831477
52,895134.1709622145
53,675817.9893581867
54,1551892.5528505445
55,947015.6098538637
56,1116490.2020852976
57,803370.309421245
58,1205288.9110425115
59,1300526.252713263
60,715065.2401779294
61,850372.4493418336
62,968404.8698875904
63,1044919.1185914557
64,2056935.5556922108
65,1769988.9865157306
66,1358959.6167294383
67,1777154.9851459265
68,1848636.5446664095
69,1176721.310289979
70,595228.1182917356
71,1534747.3212681413
72,1224107.8659724593
73,752062.7479148507
74,1184505.8098450508
75,1302120.7184608933
76,1337142.7278456818
77,1442232.1565761566
78,1485247.6302828789
79,1104422.0984098315
80,999137.038130641
81,803064.9484774768
82,1080648.6063274145
83,1069442.2881951742
84,1132554.4596651196
85,68.86000084877014
86,564000.0989000797
87,646053.0485525131
88,1022106.9884067178
89,871441.1783642173
90,2193964.188147124
91,3477899.788613176
92,4132623.7360651493
93,4241467.420133926
94,2772626.0714070797
95,2330910.1933093593
96,1720666.5338677391
97,2628809.896109998
98,3121606.0432293415
99,1887036.6586306468
100,2407114.299610615
101,2695696.1662796736
102,2738166.787449479
103,3520768.6940393075
104,133777.8497917652
105,572611.3094809055
