,A,B,C
0,199.0,154.0,343.0
1,198.0,151.0,478.0
2,175.0,152.0,497.0
3,185.0,144.0,583.0
4,177.0,152.0,540.0
5,190.0,142.0,515.0
6,167.0,151.0,565.0
7,169.0,159.0,576.0
8,183.0,150.0,508.0
9,167.0,148.0,585.0
10,191.0,151.0,576.0
11,180.0,152.0,534.0
12,166.0,156.0,593.0
13,173.0,157.0,596.0
14,166.0,162.0,637.0
15,120.0,174.0,589.0
16,124.0,166.0,604.0
17,149.0,158.0,545.0
18,179.0,150.0,638.0
19,186.0,151.0,621.0
20,158.0,143.0,588.0
21,185.0,153.0,561.0
22,194.0,143.0,562.0
23,184.0,143.0,558.0
24,177.0,144.0,522.0
25,182.0,143.0,526.0
26,178.0,147.0,628.0
27,181.0,147.0,563.0
28,196.0,135.0,595.0
29,197.0,138.0,594.0
30,190.0,141.0,606.0
31,197.0,150.0,597.0
32,0.0,0.0,0.0
33,197.0,151.0,431.0
34,204.0,148.0,534.0
35,197.0,150.0,577.0
36,186.0,140.0,613.0
37,184.0,157.0,643.0
38,214.0,168.0,673.0
39,177.0,163.0,780.0
40,170.0,165.0,732.0
41,147.0,171.0,684.0
42,101.0,178.0,729.0
43,155.0,180.0,725.0
44,187.0,168.0,733.0
45,187.0,175.0,681.0
46,198.0,169.0,698.0
47,219.0,174.0,653.0
48,210.0,169.0,698.0
49,204.0,174.0,618.0
50,193.0,168.0,523.0
51,16.0,10.0,59.0
52,12.0,5.0,5.0
53,214.0,158.0,489.0
54,201.0,159.0,475.0
55,198.0,161.0,586.0
56,190.0,155.0,645.0
57,190.0,164.0,664.0
58,204.0,156.0,553.0
59,183.0,163.0,601.0
60,104.0,178.0,596.0
61,183.0,163.0,589.0
62,184.0,166.0,627.0
63,176.0,171.0,635.0
64,149.0,188.0,590.0
65,183.0,170.0,591.0
66,171.0,177.0,623.0
67,170.0,165.0,727.0
68,177.0,173.0,642.0
69,180.0,167.0,655.0
70,174.0,160.0,661.0
71,162.0,176.0,739.0
72,187.0,168.0,725.0
73,183.0,156.0,663.0
74,200.0,162.0,615.0
75,194.0,174.0,608.0
76,171.0,165.0,693.0
77,171.0,161.0,634.0
78,175.0,160.0,606.0
79,190.0,154.0,598.0
80,192.0,150.0,648.0
81,200.0,154.0,691.0
82,201.0,144.0,687.0
83,202.0,153.0,572.0
84,0.0,0.0,0.0
85,215.0,161.0,497.0
86,201.0,165.0,614.0
87,208.0,160.0,703.0
88,189.0,168.0,740.0
89,197.0,165.0,655.0
90,180.0,174.0,724.0
91,150.0,184.0,761.0
92,150.0,181.0,751.0
93,148.0,178.0,809.0
94,161.0,184.0,815.0
95,174.0,177.0,731.0
96,190.0,168.0,822.0
97,191.0,171.0,748.0
98,200.0,174.0,751.0
99,206.0,176.0,634.0
100,224.0,167.0,739.0
101,205.0,175.0,644.0
102,191.0,173.0,637.0
103,159.0,176.0,330.0
104,0.0,0.0,0.0
105,232.0,161.0,602.0
106,204.0,162.0,652.0
107,200.0,150.0,689.0
108,201.0,158.0,685.0
109,205.0,170.0,747.0
110,208.0,168.0,658.0
111,184.0,163.0,633.0
112,202.0,163.0,681.0
113,214.0,169.0,740.0
114,202.0,169.0,621.0
115,188.0,166.0,662.0
116,135.0,176.0,745.0
117,171.0,181.0,709.0
118,198.0,174.0,746.0
119,156.0,186.0,690.0
120,178.0,177.0,527.0
121,163.0,165.0,718.0
122,219.0,167.0,702.0
123,212.0,164.0,712.0
124,185.0,172.0,681.0
125,173.0,168.0,742.0
126,198.0,171.0,583.0
127,165.0,174.0,819.0
128,187.0,169.0,607.0
129,192.0,160.0,759.0
130,201.0,159.0,785.0
131,201.0,165.0,586.0
132,185.0,176.0,684.0
133,203.0,170.0,692.0
134,211.0,163.0,729.0
135,219.0,170.0,704.0
136,0.0,0.0,0.0
137,251.0,172.0,687.0
138,224.0,167.0,628.0
139,217.0,169.0,774.0
140,234.0,198.0,857.0
141,207.0,167.0,779.0
142,169.0,191.0,821.0
143,123.0,195.0,809.0
144,178.0,197.0,1383.0
145,181.0,188.0,820.0
146,180.0,182.0,853.0
147,186.0,177.0,743.0
148,185.0,191.0,939.0
149,201.0,184.0,811.0
150,209.0,182.0,796.0
151,224.0,187.0,1104.0
152,220.0,177.0,724.0
153,217.0,177.0,651.0
154,205.0,181.0,808.0
155,209.0,174.0,494.0
156,0.0,0.0,0.0
157,248.0,161.0,551.0
158,210.0,176.0,823.0
159,229.0,177.0,981.0
160,214.0,169.0,628.0
161,207.0,166.0,677.0
162,199.0,169.0,556.0
