Date,B,C,A
2011-12-26,,,
2012-01-02,154.0,343.0,199.0
2012-01-09,151.0,478.0,198.0
2012-01-16,152.0,497.0,175.0
2012-01-23,144.0,583.0,185.0
2012-01-30,152.0,540.0,177.0
2012-02-06,142.0,515.0,190.0
2012-02-13,151.0,565.0,167.0
2012-02-20,159.0,576.0,169.0
2012-02-27,150.0,508.0,183.0
2012-03-05,148.0,585.0,167.0
2012-03-12,151.0,576.0,191.0
2012-03-19,152.0,534.0,180.0
2012-03-26,156.0,593.0,166.0
2012-04-02,157.0,596.0,173.0
2012-04-09,162.0,637.0,166.0
2012-04-16,174.0,589.0,120.0
2012-04-23,166.0,604.0,124.0
2012-04-30,158.0,545.0,149.0
2012-05-07,150.0,638.0,179.0
2012-05-14,151.0,621.0,186.0
2012-05-21,143.0,588.0,158.0
2012-05-28,153.0,561.0,185.0
2012-06-04,143.0,562.0,194.0
2012-06-11,143.0,558.0,184.0
2012-06-18,144.0,522.0,177.0
2012-06-25,143.0,526.0,182.0
2012-07-02,147.0,628.0,178.0
2012-07-09,147.0,563.0,181.0
2012-07-16,135.0,595.0,196.0
2012-07-23,138.0,594.0,197.0
2012-07-30,141.0,606.0,190.0
2012-08-06,150.0,597.0,197.0
2012-08-13,,,
2012-08-20,151.0,431.0,197.0
2012-08-27,148.0,534.0,204.0
2012-09-03,150.0,577.0,197.0
2012-09-10,140.0,613.0,186.0
2012-09-17,157.0,643.0,184.0
2012-09-24,168.0,673.0,214.0
2012-10-01,163.0,780.0,177.0
2012-10-08,165.0,732.0,170.0
2012-10-15,171.0,684.0,147.0
2012-10-22,178.0,729.0,101.0
2012-10-29,180.0,725.0,155.0
2012-11-05,168.0,733.0,187.0
2012-11-12,175.0,681.0,187.0
2012-11-19,169.0,698.0,198.0
2012-11-26,174.0,653.0,219.0
2012-12-03,169.0,698.0,210.0
2012-12-10,174.0,618.0,204.0
2012-12-17,168.0,523.0,193.0
2012-12-24,10.0,59.0,16.0
2012-12-31,5.0,5.0,12.0
2013-01-07,158.0,489.0,214.0
2013-01-14,159.0,475.0,201.0
2013-01-21,161.0,586.0,198.0
2013-01-28,155.0,645.0,190.0
2013-02-04,164.0,664.0,190.0
2013-02-11,156.0,553.0,204.0
2013-02-18,163.0,601.0,183.0
2013-02-25,178.0,596.0,104.0
2013-03-04,163.0,589.0,183.0
2013-03-11,166.0,627.0,184.0
2013-03-18,171.0,635.0,176.0
2013-03-25,188.0,590.0,149.0
2013-04-01,170.0,591.0,183.0
2013-04-08,177.0,623.0,171.0
2013-04-15,165.0,727.0,170.0
2013-04-22,173.0,642.0,177.0
2013-04-29,167.0,655.0,180.0
2013-05-06,160.0,661.0,174.0
2013-05-13,176.0,739.0,162.0
2013-05-20,168.0,725.0,187.0
2013-05-27,156.0,663.0,183.0
2013-06-03,162.0,615.0,200.0
2013-06-10,174.0,608.0,194.0
2013-06-17,165.0,693.0,171.0
2013-06-24,161.0,634.0,171.0
2013-07-01,160.0,606.0,175.0
2013-07-08,154.0,598.0,190.0
2013-07-15,150.0,648.0,192.0
2013-07-22,154.0,691.0,200.0
2013-07-29,144.0,687.0,201.0
2013-08-05,153.0,572.0,202.0
2013-08-12,,,
2013-08-19,161.0,497.0,215.0
2013-08-26,165.0,614.0,201.0
2013-09-02,160.0,703.0,208.0
2013-09-09,168.0,740.0,189.0
2013-09-16,165.0,655.0,197.0
2013-09-23,174.0,724.0,180.0
2013-09-30,184.0,761.0,150.0
2013-10-07,181.0,751.0,150.0
2013-10-14,178.0,809.0,148.0
2013-10-21,184.0,815.0,161.0
2013-10-28,177.0,731.0,174.0
2013-11-04,168.0,822.0,190.0
2013-11-11,171.0,748.0,191.0
2013-11-18,174.0,751.0,200.0
2013-11-25,176.0,634.0,206.0
2013-12-02,167.0,739.0,224.0
2013-12-09,175.0,644.0,205.0
2013-12-16,173.0,637.0,191.0
2013-12-23,176.0,330.0,159.0
2013-12-30,,,
2014-01-06,161.0,602.0,232.0
2014-01-13,162.0,652.0,204.0
2014-01-20,150.0,689.0,200.0
2014-01-27,158.0,685.0,201.0
2014-02-03,170.0,747.0,205.0
2014-02-10,168.0,658.0,208.0
2014-02-17,163.0,633.0,184.0
2014-02-24,163.0,681.0,202.0
2014-03-03,169.0,740.0,214.0
2014-03-10,169.0,621.0,202.0
2014-03-17,166.0,662.0,188.0
2014-03-24,176.0,745.0,135.0
2014-03-31,181.0,709.0,171.0
2014-04-07,174.0,746.0,198.0
2014-04-14,186.0,690.0,156.0
2014-04-21,177.0,527.0,178.0
2014-04-28,165.0,718.0,163.0
2014-05-05,167.0,702.0,219.0
2014-05-12,164.0,712.0,212.0
2014-05-19,172.0,681.0,185.0
2014-05-26,168.0,742.0,173.0
2014-06-02,171.0,583.0,198.0
2014-06-09,174.0,819.0,165.0
2014-06-16,169.0,607.0,187.0
2014-06-23,160.0,759.0,192.0
2014-06-30,159.0,785.0,201.0
2014-07-07,165.0,586.0,201.0
2014-07-14,176.0,684.0,185.0
2014-07-21,170.0,692.0,203.0
2014-07-28,163.0,729.0,211.0
2014-08-04,170.0,704.0,219.0
2014-08-11,,,
2014-08-18,172.0,687.0,251.0
2014-08-25,167.0,628.0,224.0
2014-09-01,169.0,774.0,217.0
2014-09-08,198.0,857.0,234.0
2014-09-15,167.0,779.0,207.0
2014-09-22,191.0,821.0,169.0
2014-09-29,195.0,809.0,123.0
2014-10-06,197.0,1383.0,178.0
2014-10-13,188.0,820.0,181.0
2014-10-20,182.0,853.0,180.0
