Date,net_amount
2011-12-26,
2012-01-02,270074.74978017807
2012-01-09,1624466.145795524
2012-01-16,1332051.964747727
2012-01-23,1401397.3774796724
2012-01-30,880748.8806967735
2012-02-06,921503.504447639
2012-02-13,971726.8596461416
2012-02-20,1012763.537885204
2012-02-27,760125.0407088399
2012-03-05,1264559.0612087846
2012-03-12,1073122.1048121303
2012-03-19,1125681.382839918
2012-03-26,1544774.943629682
2012-04-02,1563259.4811447265
2012-04-09,1590729.023538053
2012-04-16,2170250.4369246364
2012-04-23,1555443.472064793
2012-04-30,1166591.7603942752
2012-05-07,1566090.529497683
2012-05-14,1402690.3124315145
2012-05-21,1613818.9309224486
2012-05-28,1073982.7970135808
2012-06-04,1356285.351230979
2012-06-11,1245011.3725764155
2012-06-18,1407118.741223693
2012-06-25,1563505.5198240876
2012-07-02,1453115.9244938493
2012-07-09,1186471.3957042694
2012-07-16,1263801.3730675578
2012-07-23,1112322.296390653
2012-07-30,1255476.1802396774
2012-08-06,1174839.1378818527
2012-08-13,
2012-08-20,605804.2469653487
2012-08-27,725692.4512509704
2012-09-03,1124190.8228635788
2012-09-10,1345844.1802746058
2012-09-17,1904305.0150917768
2012-09-24,2571686.664618969
2012-10-01,4079752.0671753287
2012-10-08,5206601.144066371
2012-10-15,4606518.085248768
2012-10-22,4672961.334317207
2012-10-29,2654101.9355975986
2012-11-05,3685978.6207258105
2012-11-12,2555805.577202916
2012-11-19,2291640.299621284
2012-11-26,2105658.314753294
2012-12-03,2454926.87809974
2012-12-10,2952449.957225263
2012-12-17,2657730.633518219
2012-12-24,25032.11006116867
2012-12-31,1998.2700271606443
2013-01-07,1215320.75775069
2013-01-14,1648910.1314209104
2013-01-21,1676467.0016284585
2013-01-28,1095743.575015843
2013-02-04,1351845.7565988898
2013-02-11,882152.5351486206
2013-02-18,985904.976086676
2013-02-25,1217692.4635703564
2013-03-04,1635732.2978405356
2013-03-11,1082559.666461885
2013-03-18,1349946.9871971607
2013-03-25,1617878.996391356
2013-04-01,1521716.9362262487
2013-04-08,1993331.9488437767
2013-04-15,1825556.7580360167
2013-04-22,1115787.925639093
2013-04-29,1132714.565135121
2013-05-06,2022069.96116072
2013-05-13,2019348.574517965
